GeoType;GEOID;name;TotalPop;happening;happeningOppose;real_parthuman;real_parthumanOppose;real_human;real_humanOppose;captrade_bin;captrade_binOppose;carbon_tax_bin;carbon_tax_binOppose
Riding;12001;Cape Breton-Canso;62620;83.216;8.571;57.017;42.983;44.061;55.939;67.145;27.63;43.104;50.43
Riding;12002;Central Nova;62245;79.66;10.239;55.354;44.646;39.593;60.407;63.124;30.572;41.8;51.166
Riding;12003;Cumberland-Colchester;67755;80.823;9.271;55.64;44.36;39.406;60.594;63.543;29.567;44.388;48.817
Riding;12004;Dartmouth-Cole Harbour;75730;89.075;5.663;69.666;30.334;52.178;47.822;70.045;24.262;51.96;40.914
Riding;12005;Halifax;78605;90.869;4.148;73.627;26.373;55.404;44.596;71.972;21.998;60.269;33.844
Riding;12006;Halifax West;71465;88.455;5.905;69.095;30.905;51.002;48.998;69.64;24.766;51.989;41.947
Riding;12007;Kings-Hants;68550;86.668;6.949;64.468;35.532;46.836;53.164;67.334;26.381;49.798;43.294
Riding;12008;Sackville-Preston-Chezzetcook;69065;88.03;6.763;67.222;32.778;49.38;50.62;68.766;25.805;47.372;45.837
Riding;12009;South Shore-St. Margarets;78170;84.529;7.719;60.647;39.353;44.406;55.594;66.163;27.517;47.596;45.547
Riding;12010;Sydney-Victoria;60630;81.333;9.11;56.947;43.053;42.189;57.811;66.082;28.535;43.827;49.285
Riding;12011;West Nova;67330;82.556;8.207;57.485;42.515;43.657;56.343;64.947;28.023;46.541;46.024
Riding;13001;Acadie-Bathurst;59125;80.939;15.485;58.624;41.376;44.886;55.114;68.873;24.474;40.628;53.897
Riding;13002;Beausejour;59180;80.318;15.605;60.566;39.434;45.905;54.095;67.2;26.04;43.744;49.855
Riding;13003;Fredericton;65915;79.215;14.517;63.583;36.417;46.221;53.779;66.012;27.691;49.712;43.543
Riding;13004;Fundy Royal;63945;72.919;20.945;51.577;48.423;35.898;64.102;62.298;31.598;42.166;50.717
Riding;13005;Madawaska-Restigouche;45480;74.189;18.133;51.971;48.029;43.026;56.974;65.002;27.4;39.995;53.805
Riding;13006;Miramichi-Grand Lake;48200;68.375;22.073;45.076;54.924;35.009;64.991;62.058;31.445;41.134;51.027
Riding;13007;Moncton-Riverview-Dieppe;70180;79.739;14.565;61.542;38.458;45.603;54.397;67.144;26.442;48.307;44.958
Riding;13008;New Brunswick Southwest;54315;72.486;19.211;54.276;45.724;39.716;60.284;62.837;30.824;42.874;50.378
Riding;13009;Saint John-Rothesay;66695;72.647;17.431;52.323;47.677;40.513;59.487;64.341;29.406;44.953;48.457
Riding;13010;Tobique-Mactaquac;55715;71.127;20.437;53.524;46.476;38.185;61.815;61.454;31.471;42.379;49.887
